id;price;speed;hd;ram;screen;cd;multi;premium;ads;trend
46;4378;33;245;8;14;no;no;yes;94;2
47;4522;33;130;4;14;no;no;yes;94;4
48;4298;25;120;4;14;no;no;yes;94;4
49;4308;50;212;4;14;no;no;yes;94;2
50;4992;33;250;4;14;no;no;yes;94;2
51;4640;33;170;4;14;no;no;yes;94;1
52;2955;33;130;4;14;no;no;yes;94;3
53;2687;66;340;8;15;no;no;yes;94;1
54;2447;33;210;4;14;no;no;yes;94;1
55;3624;33;212;8;14;no;no;no;94;5
56;3970;50;130;4;14;no;no;yes;94;4
57;2987;66;130;4;14;no;no;yes;94;1
58;3215;66;210;4;17;no;no;yes;94;1
59;4156;66;210;8;17;no;no;yes;94;6
60;1793;50;130;4;14;no;no;yes;94;5
61;1920;66;330;8;15;no;no;yes;94;5
62;1788;33;170;4;15;no;no;yes;94;6
63;2430;33;250;8;15;no;no;yes;94;6
64;2248;33;250;4;14;yes;no;yes;94;6
65;1945;66;85;2;14;no;no;yes;94;4
66;5413;25;170;4;14;no;no;yes;94;1
67;4750;66;130;4;14;no;no;yes;94;2
68;4082;25;120;4;14;no;no;yes;94;1
69;5302;33;212;4;14;no;no;yes;94;5
70;4200;66;245;8;14;no;no;yes;94;5
71;4866;66;500;8;14;yes;no;yes;94;4
72;4329;33;210;4;17;no;no;yes;94;5
73;3686;33;170;4;14;no;no;yes;94;5
74;4496;50;245;8;14;no;no;yes;94;1
75;4718;50;170;4;14;no;no;yes;94;1
76;5439;33;245;8;14;no;no;yes;94;3
77;3782;33;210;8;14;no;no;yes;94;2
78;4927;66;340;8;15;yes;no;yes;94;3
79;2813;50;130;4;14;no;no;yes;94;5
80;5048;25;80;8;14;no;no;no;94;6
81;4229;66;230;4;15;no;no;yes;94;2
82;1792;33;245;8;14;no;no;yes;94;4
83;5515;66;210;8;15;no;no;yes;94;2
84;4545;33;250;8;15;yes;no;yes;94;1
85;3894;25;245;8;14;no;no;yes;94;2
86;5225;33;120;8;14;no;no;no;94;1
87;5445;33;210;8;14;no;no;yes;94;6
88;5174;33;130;4;14;no;no;yes;94;3
89;1947;25;85;2;14;no;no;yes;94;4
90;5062;50;330;8;14;no;no;yes;94;3
91;4875;50;210;4;17;no;no;yes;94;3
92;4508;66;130;4;14;no;no;yes;94;1
93;2443;33;170;8;15;yes;no;yes;94;1
94;3189;50;210;8;14;no;no;yes;94;5
95;5534;66;340;16;14;no;no;yes;95;5
96;1726;25;170;4;14;no;no;yes;95;2
97;4076;33;170;4;14;no;no;yes;95;2
98;3933;33;170;4;14;yes;no;yes;95;3
99;1795;25;340;16;14;no;no;yes;95;6
100;1526;33;170;4;14;no;no;yes;95;1
101;2466;33;250;4;14;no;no;yes;95;2
102;4148;25;245;8;14;no;no;yes;95;1
103;5274;66;85;2;14;no;no;yes;95;2
104;2107;66;330;4;15;no;no;yes;95;4
105;3447;25;85;2;14;no;no;yes;95;2
106;1604;66;250;8;17;no;no;yes;95;5
107;4532;50;212;8;14;no;no;yes;95;1
108;5445;25;170;4;14;yes;no;yes;95;1
109;4979;66;170;4;14;no;no;yes;95;3
110;5490;66;170;4;14;no;no;yes;95;6
111;2449;66;340;8;15;no;no;yes;95;5
112;4320;33;130;4;14;no;no;yes;95;4
113;4470;50;452;8;14;no;no;yes;95;3
114;3055;50;340;16;14;no;no;yes;95;5
115;3792;25;170;4;14;no;no;yes;95;3
116;2979;66;250;4;17;no;no;yes;95;3
117;4710;50;250;4;15;no;no;yes;95;5
118;4928;66;250;8;14;no;no;yes;95;3
119;3878;33;170;4;14;no;no;yes;95;1
120;2611;33;230;4;14;no;no;yes;95;6
121;2878;33;170;4;14;no;no;yes;95;6
122;5471;33;210;4;14;no;no;yes;95;1
123;1785;50;250;8;14;no;no;yes;95;2
124;4377;66;340;8;15;yes;no;yes;95;2
125;4021;33;170;8;15;yes;no;yes;95;3
126;2965;33;245;8;14;no;no;yes;95;5
127;4884;50;250;4;17;no;no;yes;95;3
128;1650;33;245;8;14;no;no;yes;95;3
129;3961;33;85;2;14;no;no;yes;95;6
130;5403;50;170;4;14;no;no;yes;95;1
131;5465;66;130;4;14;no;no;yes;95;5
132;2361;25;170;4;14;no;no;yes;95;5
133;2655;33;250;4;14;yes;no;yes;95;2
134;4802;50;170;4;14;no;no;yes;95;1
135;3927;25;120;4;14;no;no;yes;95;1
136;2087;25;245;8;14;no;no;yes;95;2
137;2711;50;250;8;14;no;no;yes;95;6
138;5325;33;250;4;15;no;no;yes;95;1
139;3402;33;250;8;15;yes;no;yes;95;3
140;4944;50;130;4;14;no;no;yes;95;5
141;2221;33;250;8;14;no;no;yes;95;1
142;4065;66;500;8;14;yes;no;yes;95;5
143;3590;50;250;8;14;no;no;yes;95;3
144;2327;50;170;4;14;no;no;yes;95;6
145;4075;66;452;8;14;no;no;yes;95;1
146;2635;66;245;8;14;no;no;yes;95;4
147;4948;66;170;4;14;no;no;yes;95;6
148;4174;33;212;4;14;no;no;yes;95;6
149;4321;33;250;8;14;no;no;yes;95;6
150;2361;66;500;8;15;no;no;yes;95;2
151;3492;33;250;4;15;no;no;yes;95;5
152;4278;33;250;8;15;no;no;yes;95;1
153;5458;66;330;8;14;no;no;yes;95;4
154;3977;33;250;8;14;no;no;yes;95;1
155;4879;33;212;8;14;no;no;yes;95;1
156;2065;66;250;8;15;no;no;yes;95;5
157;1708;50;170;4;14;no;no;yes;95;5
158;2616;33;170;8;15;no;no;yes;95;4
159;1833;50;250;4;17;no;no;yes;95;1
160;3380;66;230;4;15;no;no;yes;95;3
161;4369;33;130;4;14;no;no;yes;95;6
162;4107;25;170;4;15;no;no;yes;95;5
163;4638;50;250;4;15;no;no;yes;95;5
164;2908;50;250;8;14;no;no;yes;95;4
165;5467;33;340;16;14;no;no;yes;95;4
166;4425;25;130;4;14;no;no;yes;95;5
167;3171;50;245;8;14;no;no;yes;95;3
168;5412;50;210;4;14;no;no;yes;95;6
169;2640;33;85;2;14;no;no;yes;95;3
170;5201;33;120;8;14;no;no;no;95;6
171;1609;66;250;8;14;no;no;yes;95;5
172;3090;33;250;8;15;no;no;yes;95;1
173;3030;33;170;4;15;no;no;yes;95;6
174;5045;66;245;8;14;no;no;yes;95;6
175;5346;33;452;8;14;no;no;yes;95;6
176;5418;66;250;4;15;no;no;yes;95;5
177;2885;50;212;4;14;no;no;yes;95;3
178;2136;33;250;8;17;no;no;yes;95;6
179;4974;33;170;4;14;no;no;yes;95;3
180;2008;50;85;2;14;no;no;yes;95;4
181;1523;50;170;4;14;no;no;yes;95;1
182;5502;33;250;4;17;no;no;yes;95;6
183;2895;25;120;4;14;no;no;yes;95;6
184;5369;50;245;8;14;no;no;yes;95;3
185;5116;66;500;8;14;no;no;yes;95;3
186;2944;33;245;8;14;no;no;yes;95;2
187;4452;33;170;4;14;no;no;yes;95;1
188;5126;66;250;8;14;no;no;yes;95;6
189;4600;33;340;16;14;no;no;yes;95;5
190;3052;66;245;16;15;no;no;yes;100;1
191;3346;33;170;4;14;no;no;yes;100;6
192;4925;50;210;4;14;no;no;yes;100;6
193;4388;33;213;8;14;no;no;yes;100;1
194;1824;50;170;4;14;no;no;yes;100;2
195;3420;50;170;4;14;no;no;yes;100;3
196;4300;33;250;8;14;no;no;yes;100;5
197;4988;33;212;4;14;no;no;yes;100;4
198;2870;33;130;4;14;no;no;yes;100;3
199;4493;33;250;4;14;yes;no;yes;100;4
200;4322;66;340;8;15;yes;no;yes;100;2
201;1995;66;452;8;14;no;no;yes;100;6
202;3216;33;250;8;17;no;no;yes;100;5
203;3066;50;250;8;15;no;no;yes;100;6
204;5356;25;170;4;14;no;no;yes;100;1
205;1837;33;85;2;14;no;no;yes;100;1
206;2901;66;120;4;14;no;no;yes;100;6
207;4265;66;170;8;15;no;no;yes;100;1
208;3377;33;452;8;14;no;no;yes;100;3
209;1693;66;170;4;14;no;no;yes;100;4
210;4335;66;500;8;15;no;no;yes;100;3
211;3305;33;245;8;14;no;no;yes;100;5
212;3596;66;250;8;17;no;no;yes;100;3
213;3342;33;170;8;15;yes;no;yes;100;2
214;5465;66;170;4;14;no;no;yes;100;2
215;3188;66;250;8;17;no;no;yes;100;6
216;1850;25;85;2;14;no;no;yes;100;6
217;3809;33;245;8;14;no;no;yes;100;6
218;3331;33;130;4;14;no;no;yes;100;3
219;2858;33;340;16;14;no;no;yes;100;6
220;4979;33;170;4;14;no;no;yes;100;4
221;4298;33;250;8;17;no;no;yes;100;1
222;2907;66;250;8;15;no;no;yes;100;2
223;4084;50;213;8;14;no;no;yes;100;6
224;2345;50;452;8;14;no;no;yes;100;3
225;2852;50;212;8;14;no;no;yes;100;2
226;4983;66;170;8;14;no;no;yes;100;6
227;3371;33;170;4;14;yes;no;yes;100;4
228;4536;50;340;16;14;no;no;yes;100;6
229;4364;33;210;4;14;no;no;yes;100;2
230;2100;50;250;8;17;no;no;yes;100;2
231;4855;33;120;8;14;no;no;no;100;2
232;1846;33;250;8;15;yes;no;yes;100;5
233;3027;33;170;4;14;no;no;yes;100;5
234;5055;33;170;8;15;no;no;yes;100;6
235;4110;25;245;8;14;no;no;yes;100;3
236;3929;66;130;4;14;no;no;yes;100;3
237;2541;25;170;4;15;no;no;yes;100;4
238;4227;33;170;4;14;no;no;yes;100;2
239;4233;25;170;4;14;no;no;yes;100;4
240;2921;66;500;8;14;no;no;yes;100;6
241;4157;33;120;4;14;no;no;yes;100;3
242;5553;25;130;4;14;no;no;yes;100;3
243;5316;50;250;8;14;no;no;yes;100;1
244;4573;50;245;8;14;no;no;yes;100;5
245;5486;66;250;8;14;no;no;yes;100;1
246;2182;33;250;8;15;no;no;yes;100;5
247;3452;66;245;16;15;no;no;yes;100;5
248;3086;66;213;8;14;no;no;yes;100;1
249;5222;50;85;2;14;no;no;yes;100;1
250;5114;66;170;4;14;no;no;yes;100;6
251;3485;66;213;8;14;no;no;yes;100;3
252;1976;25;170;4;14;no;no;yes;100;4
253;4462;33;170;8;14;no;no;yes;100;1
254;3262;25;170;4;14;yes;no;yes;100;6
255;1665;33;85;2;14;no;no;yes;100;1
256;3856;66;120;4;14;no;no;yes;100;5
257;3587;50;250;8;17;no;no;yes;100;2
258;2031;33;230;4;14;no;no;yes;100;5
259;1552;33;170;4;14;no;no;yes;100;1
260;2012;33;245;16;15;no;no;yes;100;2
261;5556;66;340;8;15;no;no;yes;100;1
262;4418;33;250;8;15;no;no;yes;100;4
263;5586;33;170;8;15;no;no;yes;100;3
264;3977;50;250;8;14;no;no;yes;100;3
265;4682;50;120;4;14;no;no;yes;100;2
266;3623;50;130;4;14;no;no;yes;100;3
267;2925;50;170;8;14;no;no;yes;100;1
268;1735;50;170;8;15;no;no;yes;100;1
269;4770;50;245;16;15;no;no;yes;100;5
270;3636;66;340;4;15;no;no;yes;100;3
271;5095;33;250;4;15;no;no;yes;100;2
272;4546;66;500;8;14;yes;no;yes;100;6
273;4380;50;250;8;15;no;no;yes;100;6
274;5295;33;340;16;14;no;no;yes;100;5
275;1653;33;250;8;15;no;no;yes;100;6
276;1838;66;340;16;14;no;no;yes;100;3
277;4822;50;170;4;14;no;no;yes;100;5
278;4364;33;212;8;14;no;no;yes;100;4
279;3252;66;250;8;14;no;no;yes;100;6
280;5012;66;85;2;14;no;no;yes;100;1
281;2462;33;250;8;14;no;no;yes;100;1
282;3591;33;250;4;14;no;no;yes;100;1
283;1982;50;212;4;14;no;no;yes;100;4
284;3995;33;170;4;15;no;no;yes;100;3
285;5330;66;250;8;15;no;no;yes;100;1
286;3014;66;245;8;14;no;no;yes;100;4
287;4014;25;170;4;14;no;no;yes;100;2
288;4120;50;250;8;14;no;no;yes;100;5
289;5276;25;340;16;14;no;no;yes;100;4
290;2225;50;85;2;14;no;no;yes;108;3
291;2811;66;452;8;14;no;no;yes;108;1
292;4441;66;240;4;15;no;no;yes;108;2
293;4450;50;245;8;14;no;no;yes;108;2
294;3744;66;250;8;14;no;no;yes;108;1
295;2309;50;212;4;14;no;no;yes;108;2
296;3723;25;340;16;14;no;no;yes;108;4
297;4594;33;250;8;14;no;no;yes;108;3
298;4811;33;340;16;14;no;no;yes;108;6
299;4495;33;170;4;14;no;no;yes;108;5
300;5206;25;170;4;14;no;no;yes;108;5
301;3164;25;130;4;14;no;no;yes;108;5
302;5469;25;130;4;14;no;no;yes;108;4
303;5420;33;170;4;14;no;no;yes;108;1
304;3936;50;245;16;15;no;no;yes;108;4
305;3210;50;245;8;14;no;no;yes;108;6
306;5449;25;170;4;14;no;no;yes;108;2
307;4126;50;250;8;17;no;no;yes;108;5
308;3173;50;250;8;14;no;no;yes;108;1
309;5260;50;250;8;15;no;no;yes;108;2
310;1949;33;452;8;14;no;no;yes;108;6
311;4994;33;213;8;14;no;no;yes;108;1
312;5436;50;212;8;14;no;no;yes;108;5
313;4173;50;340;16;14;no;no;yes;108;4
314;1616;50;452;8;14;no;no;yes;108;2
315;4265;66;250;8;14;no;no;yes;108;5
316;4753;50;170;4;14;no;no;yes;108;6
317;2485;66;120;4;14;no;no;yes;108;5
318;2579;33;250;8;17;no;no;yes;108;6
319;4743;66;250;8;14;no;no;yes;108;5
320;2672;66;170;4;14;no;no;yes;108;3
321;2126;66;250;8;15;no;no;yes;108;2
322;4440;66;340;16;14;no;no;yes;108;2
323;5370;33;245;16;15;no;no;yes;108;2
324;5312;33;245;8;14;no;no;yes;108;6
325;2640;33;85;2;14;no;no;yes;108;5
326;4227;33;85;2;14;no;no;yes;108;2
327;3970;33;250;8;14;no;no;yes;108;2
328;5040;33;212;4;14;no;no;yes;108;4
329;1771;66;340;16;14;no;no;yes;108;4
330;2195;33;240;4;15;no;no;yes;108;4
331;1573;33;170;4;14;no;no;yes;108;5
332;1507;50;130;4;14;no;no;yes;108;2
333;3596;33;130;4;14;no;no;yes;108;4
334;5362;50;170;4;14;no;no;yes;108;5
335;3228;33;120;4;14;no;no;yes;108;1
336;2394;33;340;16;14;no;no;yes;108;5
337;2307;33;170;4;14;no;no;yes;108;3
338;2809;50;340;16;14;no;no;yes;108;6
339;3621;66;250;8;17;no;no;yes;108;5
340;1745;33;250;8;17;no;no;yes;108;1
341;4626;66;130;4;14;no;no;yes;108;4
342;4313;66;213;8;14;no;no;yes;108;5
343;4097;66;340;8;15;no;no;yes;108;6
344;4799;33;85;2;14;no;no;yes;108;1
345;3173;33;250;8;15;no;no;yes;108;1
346;3366;50;213;8;14;no;no;yes;108;3
347;4280;50;130;4;14;no;no;yes;108;2
348;4996;50;250;8;15;no;no;yes;108;2
349;4198;33;250;8;15;no;no;yes;108;2
350;3048;50;170;4;14;no;no;yes;108;1
351;1849;50;250;8;14;no;no;yes;108;1
352;4644;50;250;8;14;no;no;yes;108;3
353;4654;50;250;8;15;no;no;yes;108;2
354;5183;33;130;4;14;no;no;yes;108;5
355;1803;66;170;4;14;no;no;yes;108;2
356;3081;50;240;4;15;no;no;yes;108;6
357;2627;66;245;16;15;no;no;yes;108;5
358;2459;66;250;8;15;no;no;yes;108;6
359;5175;66;250;8;17;no;no;yes;108;4
360;3742;33;245;8;14;no;no;yes;108;6
361;3966;33;170;4;14;no;no;yes;108;1
362;3018;33;130;4;14;no;no;yes;108;3
363;5523;50;250;8;14;no;no;yes;108;3
364;2831;50;250;8;17;no;no;yes;108;3
365;4851;66;250;8;15;no;no;yes;108;4
366;2633;25;170;4;14;no;no;yes;108;3
367;2869;33;120;4;14;no;no;no;108;2
368;4380;50;250;8;15;no;no;yes;108;3
369;3136;66;85;2;14;no;no;yes;108;1
370;4481;33;250;8;14;no;no;yes;108;2
371;2215;33;245;8;14;no;no;yes;108;3
372;2149;66;212;4;15;no;no;no;108;2
373;3019;66;245;8;14;no;no;yes;108;2
374;4321;25;245;8;14;no;no;yes;108;6
375;1976;66;85;2;14;no;no;yes;108;2
376;2274;33;130;4;14;no;no;yes;108;2
377;3197;33;340;16;14;no;no;yes;108;1
378;2224;25;340;16;14;no;no;yes;108;6
379;3738;33;85;2;14;no;no;yes;108;1
380;2997;25;85;2;14;no;no;yes;108;2
381;5210;33;250;8;15;no;no;yes;108;4
382;4425;66;213;8;14;no;no;yes;108;2
383;3910;33;340;16;14;no;no;yes;108;5
384;4627;25;245;8;14;no;no;yes;108;3
385;3447;33;245;8;14;no;no;yes;108;3
386;3692;33;212;8;14;no;no;yes;108;4
387;3305;50;85;2;14;no;no;yes;108;2
388;4123;66;120;4;14;no;no;yes;108;5
389;1991;25;85;2;14;no;no;yes;108;6
390;5094;50;170;4;14;no;no;yes;108;3
391;2933;66;130;4;14;no;no;yes;108;4
392;4065;66;245;8;14;no;no;yes;108;2
393;3610;50;120;4;14;no;no;yes;108;5
394;3118;25;170;4;14;no;no;yes;108;5
395;4047;66;170;4;14;no;no;yes;108;4
396;5052;66;245;16;15;no;no;yes;108;5
397;3674;33;230;4;14;no;no;yes;108;6
398;1872;33;170;4;14;no;no;yes;139;6
399;3339;33;212;4;14;no;no;yes;139;6
400;3577;33;340;8;14;no;no;yes;139;6
401;1866;50;320;8;14;no;no;yes;139;2
402;2810;33;170;4;14;no;no;yes;139;3
403;4063;33;340;8;14;no;no;yes;139;5
404;5057;66;452;16;14;no;no;yes;139;2
405;2892;33;452;16;14;no;no;yes;139;5
406;1943;33;214;4;15;no;no;yes;139;3
407;2661;66;213;8;14;no;no;yes;139;6
408;3339;50;250;8;14;no;no;yes;139;6
409;2100;33;340;8;15;no;no;yes;139;5
410;5474;33;452;16;14;no;no;yes;139;2
411;5253;33;170;4;14;no;no;yes;139;6
412;2583;66;170;4;14;no;no;yes;139;5
413;5346;33;214;4;15;no;no;yes;139;6
414;2939;33;250;8;15;no;no;yes;139;1
415;4967;66;340;16;17;no;no;yes;139;5
416;5514;33;120;4;14;no;no;yes;139;1
417;1510;33;250;8;14;no;no;yes;139;5
418;1641;33;107;2;14;no;no;yes;139;2
419;3625;33;452;8;14;no;no;yes;139;3
420;2576;66;170;4;14;no;no;yes;139;4
421;4067;66;452;16;14;no;no;yes;139;3
422;4318;25;452;16;14;no;no;yes;139;5
423;1952;25;214;4;14;no;no;yes;139;6
424;2166;50;250;8;15;no;no;yes;139;4
425;2018;50;250;8;14;no;no;yes;139;6
426;1635;33;107;2;14;no;no;yes;139;6
427;4775;33;452;16;15;no;no;yes;139;6
428;1689;25;340;8;14;no;no;yes;139;1
429;1719;33;107;2;15;no;no;yes;139;6
430;2645;25;340;8;14;no;no;yes;139;4
431;4520;33;452;16;14;no;no;yes;139;2
432;2219;33;452;16;14;no;no;yes;139;6
433;2864;25;452;16;14;no;no;yes;139;3
434;4363;33;214;4;14;no;no;yes;139;6
435;5113;33;405;4;14;no;no;yes;139;4
436;2222;25;170;4;14;no;no;yes;139;6
437;1699;33;250;8;17;no;no;yes;139;2
438;1605;33;120;4;14;no;no;no;139;5
439;3587;50;250;8;17;no;no;yes;139;4
440;4428;50;452;16;14;no;no;yes;139;3
441;3273;33;250;8;17;no;no;yes;139;4
442;5318;33;250;8;15;no;no;yes;139;2
443;3130;25;107;2;14;no;no;yes;139;4
444;3472;33;170;4;14;no;no;yes;139;2
445;2384;33;340;8;14;no;no;yes;139;4
446;1593;33;245;16;15;no;no;yes;139;5
447;3667;33;250;8;14;yes;no;yes;139;2
448;2651;33;107;2;15;no;no;yes;139;2
449;5384;33;120;4;14;no;no;yes;139;6
450;1825;66;250;8;15;no;no;yes;139;3
451;3227;25;107;2;14;no;no;yes;139;5
452;2440;33;250;8;14;no;no;yes;139;1
453;3812;33;250;8;15;yes;no;yes;139;6
454;3701;66;250;8;15;no;no;yes;139;1
455;4908;33;250;8;15;no;no;yes;139;3
456;5089;50;250;8;15;no;no;yes;139;4
457;4311;66;250;8;17;no;no;yes;139;5
458;2181;66;214;4;15;no;no;yes;139;4
459;4922;66;250;8;17;no;no;yes;139;5
460;3346;25;452;16;15;no;no;yes;139;3
461;2809;66;250;8;14;no;no;yes;139;4
462;3798;50;107;2;14;no;no;yes;139;3
463;4121;66;500;8;14;no;no;yes;139;3
464;1531;33;452;16;15;no;no;yes;139;3
465;2114;50;107;2;15;no;no;yes;139;1
466;5514;66;107;2;14;no;no;yes;139;3
467;3868;66;340;8;15;yes;no;yes;139;4
468;2921;50;170;4;14;no;no;yes;139;2
469;4527;50;405;8;14;no;no;yes;139;1
470;2429;66;500;8;14;yes;no;yes;139;2
471;3711;33;250;8;14;no;no;yes;139;1
472;2989;25;170;4;14;no;no;yes;139;6
473;3146;50;250;8;14;no;no;yes;139;6
474;5522;33;405;8;14;no;no;yes;139;4
475;4492;33;170;4;14;no;no;yes;139;3
476;2008;25;107;2;15;no;no;yes;139;1
477;4035;33;250;8;14;no;no;yes;139;5
478;2429;33;170;4;14;yes;no;yes;139;2
479;5037;50;250;8;15;no;no;yes;139;6
480;4439;50;214;4;15;no;no;yes;139;4
481;2295;50;250;8;15;no;no;yes;139;5
482;1547;50;107;2;14;no;no;yes;139;1
483;5410;50;230;4;14;no;no;yes;139;2
484;3920;50;212;4;14;no;no;yes;139;6
485;2578;66;250;8;14;no;no;yes;139;1
486;2751;50;340;8;14;no;no;yes;139;5
487;2232;66;212;4;15;no;no;no;139;4
488;4170;50;405;4;15;no;no;yes;139;5
489;3921;50;250;8;17;no;no;yes;139;1
490;1557;66;340;8;14;no;no;yes;139;3
491;5358;66;1000;16;14;no;no;yes;139;2
492;3147;50;452;8;14;no;no;yes;139;5
493;3036;50;214;4;14;no;no;yes;139;1
494;1767;66;405;8;14;no;no;yes;139;4
495;2059;50;340;8;15;no;no;yes;139;2
496;4416;33;213;8;14;no;no;yes;139;6
497;1535;50;452;16;15;no;no;yes;139;6
498;4169;66;107;2;14;no;no;yes;139;2
499;2820;33;214;4;14;no;no;yes;139;6
500;5148;50;250;8;15;yes;no;yes;139;5
501;2366;50;170;4;14;no;no;yes;139;4
502;4438;66;214;4;14;no;no;yes;139;1
503;4109;25;214;4;15;no;no;yes;139;5
504;5387;66;340;8;14;no;no;yes;139;1
505;1979;66;230;8;14;no;no;yes;139;2
506;4698;33;170;4;14;no;no;yes;139;4
507;2518;33;340;8;15;no;no;yes;139;2
508;2298;33;340;16;17;no;no;yes;139;5
509;2726;50;340;8;14;no;no;yes;139;4
510;4022;66;540;8;15;no;no;yes;139;4
511;5032;66;452;8;14;no;no;yes;139;2
512;1771;50;250;8;15;no;no;yes;139;5
513;2065;66;452;16;15;no;no;yes;139;1
514;2592;66;107;2;15;no;no;yes;139;2
515;2162;33;170;4;14;no;no;yes;139;6
516;3137;50;250;8;17;no;no;yes;139;4
517;3281;25;214;4;14;no;no;yes;139;4
518;3065;50;214;4;14;no;no;yes;139;6
519;3509;66;214;4;14;no;no;yes;139;5
520;2555;50;170;4;14;no;no;yes;139;5
521;2953;33;214;4;14;no;no;yes;139;5
522;2328;33;340;8;14;no;no;yes;139;1
523;5341;25;170;4;14;no;no;yes;139;6
524;3454;33;250;8;15;no;no;yes;139;1
525;5247;66;120;4;14;no;no;yes;139;2
526;1646;66;245;16;15;no;no;yes;139;6
527;3832;66;340;8;15;no;no;yes;139;1
528;2842;33;107;2;14;no;no;yes;139;5
529;1952;50;170;4;14;no;no;yes;139;6
530;3180;50;250;8;15;no;no;yes;139;3
531;3956;25;340;8;15;no;no;yes;139;3
532;4366;33;107;2;14;no;no;yes;139;3
533;5054;50;452;16;14;no;no;yes;139;1
534;2909;66;250;8;14;no;no;yes;139;1
535;3614;33;214;4;14;no;no;yes;139;2
536;4841;66;250;8;15;no;no;yes;139;5
537;5590;50;250;4;14;no;no;yes;176;1
538;3430;33;170;4;14;no;no;yes;176;2
539;3369;66;450;8;14;no;no;yes;176;3
540;3215;33;250;4;14;no;no;yes;176;1
541;3816;33;452;16;15;no;no;yes;176;5
542;4797;66;250;8;15;no;no;yes;176;4
543;3079;33;240;4;14;no;no;no;176;1
544;3814;66;245;8;14;yes;no;yes;176;2
545;5389;33;340;8;14;no;no;yes;176;5
546;2263;66;340;8;14;no;no;yes;176;1
547;2273;33;214;4;14;no;no;yes;176;5
548;3805;50;450;8;15;no;no;yes;176;4
549;5359;50;170;4;14;no;no;yes;176;3
550;2250;50;107;2;15;no;no;yes;176;6
551;1793;66;340;8;14;yes;no;yes;176;3
552;4586;25;107;2;14;no;no;yes;176;6
553;4122;50;452;16;14;no;no;yes;176;5
554;3501;66;107;2;15;no;no;yes;176;4
555;4474;33;452;16;14;no;no;yes;176;1
556;4101;33;107;2;14;no;no;yes;176;4
557;1980;50;250;8;14;no;no;yes;176;4
558;3507;33;345;16;17;no;no;yes;176;5
559;2495;33;452;16;14;no;no;yes;176;5
560;3736;66;250;4;15;no;no;yes;176;4
561;5150;66;345;16;17;no;no;yes;176;4
562;2970;50;214;4;14;no;no;yes;176;4
563;5347;50;240;4;14;no;no;no;176;3
564;4250;33;212;8;14;no;no;yes;176;5
565;4887;50;212;8;15;no;no;yes;176;4
566;4154;33;214;4;14;no;no;yes;176;6
567;2827;33;107;2;14;no;no;yes;176;2
568;1925;25;107;2;15;no;no;yes;176;3
569;2449;25;214;4;14;no;no;yes;176;3
570;4136;25;340;8;14;no;no;yes;176;6
571;4884;33;170;4;14;yes;no;yes;176;6
572;3767;66;250;8;15;no;no;yes;176;5
573;5511;33;170;4;14;no;no;yes;176;4
574;4749;50;250;4;15;no;no;yes;176;4
575;3043;66;120;4;14;no;no;no;176;4
576;4895;66;250;8;17;no;no;yes;176;6
577;4148;66;250;4;14;no;no;yes;176;6
578;2967;66;452;16;14;no;no;yes;176;6
579;4020;66;340;8;14;no;no;yes;176;1
580;4470;33;120;4;14;no;no;no;176;6
